period,price,date,temp_c,humidity
2022-01-01,13.58,2022-01-01,12.45,60
2022-01-01,23.07,2022-01-01,12.45,60
2022-01-01,12.1,2022-01-01,12.45,60
2022-01-01,19.54,2022-01-01,12.45,60
2022-01-01,18.54,2022-01-01,12.45,60
2022-02-01,20.38,2022-02-01,12.45,60
2022-02-01,12.31,2022-02-01,12.45,60
2022-02-01,25.34,2022-02-01,12.45,60
2022-02-01,13.98,2022-02-01,12.45,60
2022-02-01,19.46,2022-02-01,12.45,60
2022-03-01,19.36,2022-03-01,12.45,60
2022-03-01,20.7,2022-03-01,12.45,60
2022-03-01,11.29,2022-03-01,12.45,60
2022-03-01,14.95,2022-03-01,12.45,60
2022-03-01,26.37,2022-03-01,12.45,60
2022-04-01,21.05,2022-04-01,12.45,60
2022-04-01,12.25,2022-04-01,12.45,60
2022-04-01,20.54,2022-04-01,12.45,60
2022-04-01,23.28,2022-04-01,12.45,60
2022-04-01,15.39,2022-04-01,12.45,60
2022-05-01,10.7,2022-05-01,12.45,60
2022-05-01,21.43,2022-05-01,12.45,60
2022-05-01,27.21,2022-05-01,12.45,60
2022-05-01,19.84,2022-05-01,12.45,60
2022-05-01,16.07,2022-05-01,12.45,60
2022-06-01,28.16,2022-06-01,12.45,60
2022-06-01,22.59,2022-06-01,12.45,60
2022-06-01,13.91,2022-06-01,12.45,60
2022-06-01,23.48,2022-06-01,12.45,60
2022-06-01,17.54,2022-06-01,12.45,60
2022-07-01,26.18,2022-07-01,12.45,60
2022-07-01,16.39,2022-07-01,12.45,60
2022-07-01,23.83,2022-07-01,12.45,60
2022-07-01,23.94,2022-07-01,12.45,60
2022-07-01,19.79,2022-07-01,12.45,60
2022-08-01,24.71,2022-08-01,12.45,60
2022-08-01,24.48,2022-08-01,12.45,60
2022-08-01,19.58,2022-08-01,12.45,60
2022-08-01,26.49,2022-08-01,12.45,60
2022-08-01,17.2,2022-08-01,12.45,60
2022-09-01,16.71,2022-09-01,12.45,60
2022-09-01,25.96,2022-09-01,12.45,60
2022-09-01,24.2,2022-09-01,12.45,60
2022-09-01,24.04,2022-09-01,12.45,60
2022-09-01,19.3,2022-09-01,12.45,60
2022-10-01,14.41,2022-10-01,12.45,60
2022-10-01,22.85,2022-10-01,12.45,60
2022-10-01,25.76,2022-10-01,12.45,60
2022-10-01,22.79,2022-10-01,12.45,60
2022-10-01,18.41,2022-10-01,12.45,60
2022-11-01,22.09,2022-11-01,12.45,60
2022-11-01,16.64,2022-11-01,12.45,60
2022-11-01,13.17,2022-11-01,12.45,60
2022-11-01,22.22,2022-11-01,12.45,60
2022-11-01,25.52,2022-11-01,12.45,60
2022-12-01,17.03,2022-12-01,12.45,60
2022-12-01,22.07,2022-12-01,12.45,60
2022-12-01,21.02,2022-12-01,12.45,60
2022-12-01,26.04,2022-12-01,12.45,60
2022-12-01,13.63,2022-12-01,12.45,60
